DATE,VALUE
2006-03-06,11010.53
2006-03-13,11022.21
2006-03-20,11233.71
2006-03-27,11270.65
2006-04-03,11155.04
2006-04-10,11184.25
2006-04-17,11107.76
2006-04-24,11314.84
2006-05-01,11346.14
2006-05-08,11483.57
2006-05-15,11518.58
2006-05-22,11204.64
2006-05-29,11176.33
2006-06-05,11163.92
2006-06-12,10911.27
2006-06-19,10898.98
2006-06-26,11021.56
2006-07-03,11093.47
2006-07-10,11142.84
2006-07-17,10896.19
2006-07-24,10931.64
2006-07-31,11142.41
2006-08-07,11205.60
2006-08-14,11112.01
2006-08-21,11323.77
2006-08-28,11315.65
2006-09-04,11399.54
2006-09-11,11399.17
2006-09-18,11536.91
2006-09-25,11554.25
2006-10-02,11685.30
2006-10-09,11830.53
2006-10-16,11921.62
2006-10-23,12014.74
2006-10-30,12120.60
2006-11-06,12044.38
2006-11-13,12135.38
2006-11-20,12286.93
2006-11-27,12262.61
2006-12-04,12212.62
2006-12-11,12311.05
2006-12-18,12387.33
2006-12-25,12424.92
2007-01-01,12470.72
2007-01-08,12444.18
2007-01-15,12482.46
2007-01-22,12554.07
2007-01-29,12527.19
2007-02-05,12626.78
2007-02-12,12620.84
2007-02-19,12732.32
2007-02-26,12698.16
2007-03-05,12176.74
2007-03-12,12251.14
2007-03-19,12141.12
2007-03-26,12429.37
2007-04-02,12356.61
2007-04-09,12542.42
2007-04-16,12588.80
2007-04-23,12853.38
2007-04-30,13066.64
2007-05-07,13233.40
2007-05-14,13312.01
2007-05-21,13489.50
2007-05-28,13503.50
2007-06-04,13625.30
2007-06-11,13435.44
2007-06-18,13516.71
2007-06-25,13476.60
2007-07-02,13426.34
2007-07-09,13601.20
2007-07-16,13759.91
2007-07-23,13936.94
2007-07-30,13519.87
2007-08-06,13337.68
2007-08-13,13381.78
2007-08-20,12987.32
2007-08-27,13252.77
2007-09-03,13231.90
2007-09-10,13271.78
2007-09-17,13374.17
2007-09-24,13780.18
2007-10-01,13910.58
2007-10-08,14019.88
2007-10-15,14067.24
2007-10-22,13756.69
2007-10-29,13740.07
2007-11-05,13685.77
2007-11-12,13251.51
2007-11-19,13156.68
2007-11-26,12883.38
2007-12-03,13249.18
2007-12-10,13533.24
2007-12-17,13386.34
2007-12-24,13337.07
2007-12-31,13385.50
2008-01-07,12932.09
2008-01-14,12712.38
2008-01-21,12306.45
2008-01-28,12242.21
2008-02-04,12590.37
2008-02-11,12226.87
2008-02-18,12412.71
2008-02-25,12400.00
2008-03-03,12497.33
2008-03-10,12028.60
2008-03-17,12067.23
2008-03-24,12350.57
2008-03-31,12347.44
2008-04-07,12621.61
2008-04-14,12462.63
2008-04-21,12655.32
2008-04-28,12819.20
2008-05-05,12937.96
2008-05-12,12864.83
2008-05-19,12947.64
2008-05-26,12633.78
2008-06-02,12586.15
2008-06-09,12377.58
2008-06-16,12218.31
2008-06-23,11987.50
2008-06-30,11553.84
2008-07-07,11279.57
2008-07-14,11183.28
2008-07-21,11322.48
2008-07-28,11417.19
2008-08-04,11393.95
2008-08-11,11643.99
2008-08-18,11586.13
2008-08-25,11442.10
2008-09-01,11543.53
2008-09-08,11393.95
2008-09-15,11254.57
2008-09-22,11018.50
2008-09-29,10842.00
2008-10-06,10489.09
2008-10-13,9024.64
2008-10-20,8997.16
2008-10-27,8559.77
2008-11-03,9176.32
2008-11-10,9054.94
2008-11-17,8516.55
2008-11-24,8092.83
2008-12-01,8546.05
2008-12-08,8591.32
2008-12-15,8642.41
2008-12-22,8690.47
2008-12-29,8471.86
2009-01-05,8858.09
2009-01-12,8720.08
2009-01-19,8285.60
2009-01-26,8098.72
2009-02-02,8127.38
2009-02-09,8129.91
2009-02-16,7902.90
2009-02-23,7410.93
2009-03-02,7126.03
2009-03-09,6674.06
2009-03-16,7093.58
2009-03-23,7467.46
2009-03-30,7726.51
2009-04-06,7868.41
2009-04-13,7941.97
2009-04-20,8009.66
2009-04-27,7982.90
2009-05-04,8201.99
2009-05-11,8465.24
2009-05-18,8371.61
2009-05-25,8366.59
2009-06-01,8479.82
2009-06-08,8738.80
2009-06-15,8736.88
2009-06-22,8487.24
2009-06-29,8412.59
2009-07-06,8389.17
2009-07-13,8200.68
2009-07-20,8655.92
2009-07-27,9013.65
2009-08-03,9156.01
2009-08-10,9313.09
2009-08-17,9291.60
2009-08-24,9372.48
2009-08-31,9540.78
2009-09-07,9344.29
2009-09-14,9580.85
2009-09-21,9771.62
2009-09-28,9748.08
2009-10-05,9610.24
2009-10-12,9798.89
2009-10-19,10007.59
2009-10-26,9982.46
2009-11-02,9821.92
2009-11-09,9966.07
2009-11-16,10282.63
2009-11-23,10393.06
2009-11-30,10388.22
2009-12-07,10413.88
2009-12-14,10400.28
2009-12-21,10388.88
2009-12-28,10499.64
2010-01-04,10526.48
2010-01-11,10606.95
2010-01-18,10657.06
2010-01-25,10417.66
2010-02-01,10160.75
2010-02-08,10098.04
2010-02-15,10085.09
2010-02-22,10351.34
2010-03-01,10341.33
2010-03-08,10473.12
2010-03-15,10602.08
2010-03-22,10745.34
2010-03-29,10862.48
2010-04-05,10916.17
2010-04-12,10959.58
2010-04-19,11079.56
2010-04-26,11157.12
2010-05-03,11073.00
2010-05-10,10696.16
2010-05-17,10734.82
2010-05-24,10256.66
2010-05-31,10103.46
2010-06-07,10055.46
2010-06-14,10082.74
2010-06-21,10428.29
2010-06-28,10205.42
2010-07-05,9765.83
2010-07-12,10063.04
2010-07-19,10268.28
2010-07-26,10324.57
2010-08-02,10528.61
2010-08-09,10668.82
2010-08-16,10389.64
2010-08-23,10296.13
2010-08-30,10049.34
2010-09-06,10263.06
2010-09-13,10429.97
2010-09-20,10611.10
2010-09-27,10767.01
2010-10-04,10812.48
2010-10-11,10975.55
2010-10-18,11083.50
2010-10-25,11105.95
2010-11-01,11130.56
2010-11-08,11337.92
2010-11-15,11276.29
2010-11-22,11118.95
2010-11-29,11092.04
2010-12-06,11273.70
2010-12-13,11388.12
2010-12-20,11480.66
2010-12-27,11555.29
2011-01-03,11595.78
2011-01-10,11684.72
2011-01-17,11736.65
2011-01-24,11867.68
2011-01-31,11933.62
2011-02-07,12079.63
2011-02-14,12248.76
2011-02-21,12306.05
2011-02-28,12148.77
2011-03-07,12128.59
2011-03-14,12089.93
2011-03-21,11827.67
2011-03-28,12138.74
2011-04-04,12345.22
2011-04-11,12398.26
2011-04-18,12272.63
2011-04-25,12426.54
2011-05-02,12733.51
2011-05-09,12687.74
2011-05-16,12646.09
2011-05-23,12507.68
2011-05-30,12398.80
2011-06-06,12269.94
2011-06-13,12029.80
2011-06-20,12003.93
2011-06-27,12065.56
2011-07-04,12361.81
2011-07-11,12615.67
2011-07-18,12448.10
2011-07-25,12631.54
2011-08-01,12263.94
2011-08-08,11480.24
2011-08-15,11170.99
2011-08-22,11095.80
2011-08-29,11294.22
2011-09-05,11476.83
2011-09-12,11180.64
2011-09-19,11339.17
2011-09-26,11016.53
2011-10-03,10984.85
2011-10-10,11081.66
2011-10-17,11490.95
2011-10-24,11669.17
2011-10-31,11994.07
2011-11-07,11918.02
2011-11-14,12015.51
2011-11-21,11823.19
2011-11-28,11376.52
2011-12-05,11947.72
