Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,17699.599609,17905.369141,17080.570312,17191.25,138800,17191.25
2016-01-25,17145.810547,17638.929688,16652.259766,17518.300781,143400,17518.300781
2016-01-18,16826.929688,17088.310547,16017.259766,16958.529297,175400,16958.529297
2016-01-12,17470.929688,17717.75,16944.410156,17147.109375,128400,17147.109375
2016-01-04,18818.580078,18951.119141,17509.640625,17697.960938,121200,17697.960938
2015-12-28,18838.910156,19113.179688,18764.539062,19033.710938,96900,19033.710938
2015-12-21,18845.50,19071.410156,18651.130859,18769.060547,94000,18769.060547
2015-12-14,18887.089844,19869.080078,18562.509766,18986.800781,96100,18986.800781
2015-12-07,19710.390625,19811.509766,19020.75,19230.480469,100700,19230.480469
2015-11-30,19857.380859,20012.400391,19444.539062,19504.480469,105600,19504.480469
2015-11-24,19875.990234,19994.050781,19786.529297,19883.939453,88500,19883.939453
2015-11-16,19263.960938,19959.060547,19252.039062,19879.810547,122700,19879.810547
2015-11-09,19411.509766,19725.830078,19388.910156,19596.910156,110600,19596.910156
2015-11-02,18827.109375,19294.150391,18641.220703,19265.599609,138800,19265.599609
2015-10-26,19036.130859,19202.339844,18760.789062,19083.099609,138800,19083.099609
2015-10-19,18282.779297,18915.640625,18078.429688,18825.300781,28600,18825.300781
2015-10-13,18335.150391,18397.519531,17758.119141,18291.800781,98300,18291.800781
2015-10-05,17921.00,18438.669922,17869.740234,18438.669922,149900,18438.669922
2015-09-28,17811.119141,17886.490234,16901.490234,17725.130859,111300,17725.130859
2015-09-24,17803.410156,17880.509766,17483.689453,17880.509766,89600,17880.509766
2015-09-14,18341.009766,18468.199219,17925.089844,18070.210938,111600,18070.210938
2015-09-07,17674.820312,18770.509766,17415.609375,18264.220703,173700,18264.220703
2015-08-31,19006.980469,19019.609375,17608.169922,17792.160156,133600,17792.160156
2015-08-24,19075.050781,19192.820312,17714.300781,19136.320312,243200,19136.320312
2015-08-17,20600.160156,20668.869141,19435.830078,19435.830078,152500,19435.830078
2015-08-10,20618.310547,20946.929688,20303.019531,20519.449219,92500,20519.449219
2015-08-03,20540.210938,20817.480469,20396.50,20724.560547,160600,20724.560547
2015-07-27,20374.050781,20585.240234,20070.619141,20585.240234,122000,20585.240234
2015-07-21,20763.310547,20850.00,20527.779297,20544.529297,123600,20544.529297
2015-07-13,19929.919922,20658.949219,19911.390625,20650.919922,80800,20650.919922
2015-07-06,20200.150391,20428.00,19115.199219,19779.830078,31700,19779.830078
2015-06-29,20305.970703,20601.730469,20093.160156,20539.789062,84800,20539.789062
2015-06-22,20174.140625,20952.710938,20174.140625,20706.150391,119900,20706.150391
2015-06-15,20205.099609,20401.480469,19990.550781,20174.240234,105500,20174.240234
2015-06-08,20537.849609,20544.939453,20016.320312,20407.080078,161800,20407.080078
2015-06-01,20444.539062,20619.609375,20363.179688,20460.900391,171700,20460.900391
2015-05-25,20331.919922,20655.330078,20318.539062,20563.150391,185300,20563.150391
